3.150000e-03	-8.581704e-02	-8.581704e-02	-8.581704e-02	-8.581704e-02	
3.200000e-03	-8.581923e-02	-8.581923e-02	-8.581923e-02	-8.581923e-02	
3.250000e-03	-8.582143e-02	-8.582143e-02	-8.582143e-02	-8.582143e-02	
3.300000e-03	-8.582362e-02	-8.582362e-02	-8.582362e-02	-8.582362e-02	
3.350000e-03	-8.582582e-02	-8.582582e-02	-8.582582e-02	-8.582582e-02	
3.400000e-03	-8.582802e-02	-8.582802e-02	-8.582802e-02	-8.582802e-02	
3.450000e-03	-8.583023e-02	-8.583023e-02	-8.583023e-02	-8.583023e-02	
3.500000e-03	-8.583243e-02	-8.583243e-02	-8.583243e-02	-8.583243e-02	
3.550000e-03	-8.583464e-02	-8.583464e-02	-8.583464e-02	-8.583464e-02	
3.600000e-03	-8.583685e-02	-8.583685e-02	-8.583685e-02	-8.583685e-02	
3.650000e-03	-8.583906e-02	-8.583906e-02	-8.583906e-02	-8.583906e-02	
3.700000e-03	-8.584128e-02	-8.584128e-02	-8.584128e-02	-8.584128e-02	
3.750000e-03	-8.584349e-02	-8.584349e-02	-8.584349e-02	-8.584349e-02	
3.800000e-03	-8.584571e-02	-8.584571e-02	-8.584571e-02	-8.584571e-02	
3.850000e-03	-8.584793e-02	-8.584793e-02	-8.584793e-02	-8.584793e-02	
3.900000e-03	-8.585015e-02	-8.585015e-02	-8.585015e-02	-8.585015e-02	
3.950000e-03	-8.585237e-02	-8.585237e-02	-8.585237e-02	-8.585237e-02	
4.000000e-03	-8.585459e-02	-8.585459e-02	-8.585459e-02	-8.585459e-02	
4.050000e-03	-8.585681e-02	-8.585681e-02	-8.585681e-02	-8.585681e-02	
4.100000e-03	-8.585903e-02	-8.585903e-02	-8.585903e-02	-8.585903e-02	
4.150000e-03	-8.586125e-02	-8.586125e-02	-8.586125e-02	-8.586125e-02	
4.200000e-03	-8.586347e-02	-8.586347e-02	-8.586347e-02	-8.586347e-02	
4.250000e-03	-8.586570e-02	-8.586570e-02	-8.586570e-02	-8.586570e-02	
4.300000e-03	-8.586792e-02	-8.586792e-02	-8.586792e-02	-8.586792e-02	
4.350000e-03	-8.587014e-02	-8.587014e-02	-8.587014e-02	-8.587014e-02	
4.400000e-03	-8.587237e-02	-8.587237e-02	-8.587237e-02	-8.587237e-02	
4.450000e-03	-8.587459e-02	-8.587459e-02	-8.587459e-02	-8.587459e-02	
4.500000e-03	-8.587681e-02	-8.587681e-02	-8.587681e-02	-8.587681e-02	
4.550000e-03	-8.587903e-02	-8.587903e-02	-8.587903e-02	-8.587903e-02	
4.600000e-03	-8.588126e-02	-8.588126e-02	-8.588126e-02	-8.588126e-02	
4.650000e-03	-8.588348e-02	-8.588348e-02	-8.588348e-02	-8.588348e-02	
4.700000e-03	-8.588570e-02	-8.588570e-02	-8.588570e-02	-8.588570e-02	
4.750000e-03	-8.588792e-02	-8.588792e-02	-8.588792e-02	-8.588792e-02	
4.800000e-03	-8.589014e-02	-8.589014e-02	-8.589014e-02	-8.589014e-02	
4.850000e-03	-8.589236e-02	-8.589236e-02	-8.589236e-02	-8.589236e-02	
4.900000e-03	-8.589457e-02	-8.589457e-02	-8.589457e-02	-8.589457e-02	
4.950000e-03	-8.589679e-02	-8.589679e-02	-8.589679e-02	-8.589679e-02	
5.000000e-03	-8.589901e-02	-8.589901e-02	-8.589901e-02	-8.589901e-02	
5.050000e-03	-8.590122e-02	-8.590122e-02	-8.590122e-02	-8.590122e-02	
5.100000e-03	-8.590343e-02	-8.590343e-02	-8.590343e-02	-8.590343e-02	
5.150000e-03	-8.590564e-02	-8.590564e-02	-8.590564e-02	-8.590564e-02	
5.200000e-03	-8.590785e-02	-8.590785e-02	-8.590785e-02	-8.590785e-02	
5.250000e-03	-8.591006e-02	-8.591006e-02	-8.591006e-02	-8.591006e-02	
5.300000e-03	-8.591227e-02	-8.591227e-02	-8.591227e-02	-8.591227e-02	
5.350000e-03	-8.591447e-02	-8.591447e-02	-8.591447e-02	-8.591447e-02	
5.400000e-03	-8.591668e-02	-8.591668e-02	-8.591668e-02	-8.591668e-02	
